id,name,age,department,role,status,location,salary,performance_score,years_of_experience
1,Employee_1,32,Finance,Director,on_leave,London,67386,3.3,11
2,Employee_2,50,IT,Coordinator,on_leave,Berlin,163011,4.5,31
3,Employee_3,45,Support,Specialist,on_leave,London,129321,1.2,14
4,Employee_4,34,Operations,Analyst,inactive,London,50264,2.4,29
5,Employee_5,54,Support,Specialist,inactive,New York,197400,4.6,11
6,Employee_6,,Finance,Analyst,inactive,Berlin,172395,2.1,23
7,Employee_7,50,Operations,Director,active,Sydney,169789,3.2,28
8,Employee_8,38,Legal,Coordinator,active,London,98712,2.7,4
9,Employee_9,-5,Legal,Analyst,active,Sydney,100375,2.3,26
10,Employee_10,53,R&D,Engineer,inactive,Berlin,88439,4.8,2
11,Employee_11,51,HR,Manager,inactive,New York,158309,2.6,14
12,Employee_12,49,Marketing,Specialist,inactive,Remote,130170,1.9,19
13,Employee_13,57,Engineering,Director,active,Sydney,97230,1.5,32
14,Employee_14,36,Support,Director,inactive,Remote,171509,3.3,35
15,Employee_15,52,HR,Director,active,Berlin,170299,2.9,30
16,Employee_16,24,Engineering,Coordinator,on_leave,Berlin,126435,4.8,11
17,Employee_17,62,Support,Coordinator,on_leave,Sydney,57615,3.1,26
18,Employee_18,37,HR,Director,inactive,Tokyo,131195,1.9,28
19,Employee_19,48,HR,Specialist,inactive,Remote,174056,3.3,23
20,Employee_20,-5,IT,Coordinator,inactive,New York,120683,4.8,22
21,Employee_21,20,Engineering,Coordinator,inactive,Berlin,112317,3.9,5
22,Employee_22,33,R&D,Manager,on_leave,Sydney,75180,3.9,19
23,Employee_23,26,Support,Director,active,Berlin,91907,2.5,2
24,Employee_24,41,IT,Analyst,active,Remote,166176,1.9,4
25,Employee_25,62,Engineering,Manager,on_leave,Remote,N/A,3.4,36
26,Employee_26,27,Support,Engineer,inactive,Remote,75983,2.2,38
27,Employee_27,20,Legal,Coordinator,active,London,69079,1.9,31
28,Employee_28,62,Legal,Coordinator,on_leave,Remote,71494,2.3,1
29,Employee_29,46,Finance,Director,inactive,Sydney,186953,4.3,25
30,Employee_30,36,HR,Engineer,on_leave,Berlin,N/A,2.6,28
31,Employee_31,40,R&D,Engineer,active,Sydney,154798,2.8,39
32,Employee_32,26,HR,Manager,on_leave,Tokyo,193469,2.9,12
33,Employee_33,61,Finance,Director,on_leave,Sydney,173065,1.2,40
34,Employee_34,39,R&D,Coordinator,on_leave,London,110330,4.6,1
35,Employee_35,22,Marketing,Director,inactive,Tokyo,141083,3.4,999999
36,Employee_36,21,Marketing,Manager,inactive,Sydney,181382,1.1,12
37,Employee_37,,Operations,Analyst,on_leave,Sydney,99854,2.2,26
38,Employee_38,58,Support,Director,active,Berlin,   ,4.9,22
